Disease;HPO
OMIM:242600;HP:0001249
OMIM:242600;HP:0003080
OMIM:242600;HP:0003137
OMIM:242600;HP:0000478
OMIM:242600;HP:0000007
ORPHANET:2704;HP:0002019
ORPHANET:2704;HP:0000028
ORPHANET:2704;HP:0000795
ORPHANET:2704;HP:0000076
ORPHANET:2704;HP:0000010
ORPHANET:2704;HP:0002019
ORPHANET:2704;HP:0000028
ORPHANET:2704;HP:0000795
ORPHANET:2704;HP:0000076
ORPHANET:2704;HP:0000010
OMIM:614885;HP:0011947
OMIM:614885;HP:0000572
OMIM:614885;HP:0011968
OMIM:614885;HP:0011398
OMIM:614885;HP:0001324
OMIM:614885;HP:0000364
OMIM:613809;HP:0000512
OMIM:613809;HP:0000510
OMIM:613809;HP:0007737
OMIM:613809;HP:0001123
OMIM:613809;HP:0000007
OMIM:613809;HP:0007843
OMIM:613809;HP:0000505
OMIM:612109;HP:0000568
OMIM:612109;HP:0000518
OMIM:612109;HP:0007906
OMIM:612109;HP:0000639
OMIM:612109;HP:0000007
OMIM:612109;HP:0001104
OMIM:612109;HP:0000589
OMIM:612109;HP:0000482
OMIM:612109;HP:0000647
OMIM:612109;HP:0012376
OMIM:612304;HP:0002638
OMIM:612304;HP:0002204
OMIM:612304;HP:0001263
OMIM:612304;HP:0003828
OMIM:612304;HP:0005543
OMIM:612304;HP:0002625
OMIM:612304;HP:0100724
OMIM:612304;HP:0001250
OMIM:612304;HP:0000979
OMIM:612304;HP:0007902
OMIM:612304;HP:0000007
OMIM:614867;HP:0000505
OMIM:614867;HP:0002317
OMIM:614867;HP:0001410
OMIM:614867;HP:0000007
OMIM:614867;HP:0000556
OMIM:614867;HP:0001265
OMIM:614867;HP:0009046
OMIM:614867;HP:0001319
OMIM:614867;HP:0001263
OMIM:614867;HP:0001260
OMIM:614867;HP:0010571
OMIM:614867;HP:0000639
OMIM:614867;HP:0001272
OMIM:614867;HP:0000514
OMIM:614867;HP:0000407
OMIM:614867;HP:0008167
OMIM:614867;HP:0001310
OMIM:614867;HP:0000657
OMIM:614867;HP:0001337
OMIM:614867;HP:0000510
OMIM:615065;HP:0001181
OMIM:615065;HP:0012385
OMIM:615065;HP:0000221
OMIM:615065;HP:0002804
OMIM:615065;HP:0000007
OMIM:615065;HP:0002987
OMIM:615065;HP:0000470
OMIM:615065;HP:0000463
OMIM:615065;HP:0000414
OMIM:615065;HP:0000347
OMIM:615065;HP:0002553
OMIM:615065;HP:0004322
OMIM:615065;HP:0000311
OMIM:616032;HP:0003774
OMIM:616032;HP:0000093
OMIM:616032;HP:0000100
OMIM:616032;HP:0000097
OMIM:604537;HP:0000540
OMIM:604537;HP:0000007
OMIM:604537;HP:0000639
OMIM:604537;HP:0000550
OMIM:604537;HP:0000505
OMIM:151430;HP:0001428
OMIM:151430;HP:0012191
OMIM:275200;HP:0002019
OMIM:275200;HP:0000821
OMIM:275200;HP:0001392
OMIM:275200;HP:0000851
OMIM:275200;HP:0000157
OMIM:275200;HP:0003593
OMIM:275200;HP:0000235
OMIM:275200;HP:0002360
OMIM:275200;HP:0000007
OMIM:275200;HP:0001608
OMIM:275200;HP:0002925
OMIM:275200;HP:0005990
OMIM:275200;HP:0001537
OMIM:275200;HP:0001252
OMIM:275200;HP:0010318
OMIM:170400;HP:0003752
OMIM:170400;HP:0002900
OMIM:170400;HP:0003829
OMIM:170400;HP:0007215
OMIM:170400;HP:0000006
OMIM:614940;HP:0007607
OMIM:614940;HP:0000958
OMIM:614940;HP:0000970
OMIM:614940;HP:0000290
OMIM:614940;HP:0000006
OMIM:614940;HP:0006483
OMIM:614940;HP:0008070
OMIM:614940;HP:0000232
OMIM:173200;HP:0000982
OMIM:173200;HP:0008392
OMIM:173200;HP:0007400
OMIM:173200;HP:0001231
OMIM:173200;HP:0000006
OMIM:173200;HP:0000989
OMIM:609180;HP:0000478
OMIM:609180;HP:0100543
OMIM:609180;HP:0001250
OMIM:609180;HP:0001252
OMIM:268100;HP:0001146
OMIM:268100;HP:0000662
OMIM:268100;HP:0012047
OMIM:268100;HP:0000655
OMIM:268100;HP:0000550
OMIM:268100;HP:0040049
OMIM:268100;HP:0000007
OMIM:268100;HP:0000518
OMIM:612877;HP:0001644
OMIM:607101;HP:0001730
OMIM:607101;HP:0000007
OMIM:156200;HP:0000483
OMIM:156200;HP:0000154
OMIM:156200;HP:0000718
OMIM:156200;HP:0002553
OMIM:156200;HP:0000347
OMIM:156200;HP:0000331
OMIM:156200;HP:0100543
OMIM:156200;HP:0000278
OMIM:156200;HP:0000337
OMIM:156200;HP:0004322
OMIM:156200;HP:0004209
OMIM:156200;HP:0000540
OMIM:156200;HP:0000232
OMIM:156200;HP:0001249
OMIM:156200;HP:0000411
OMIM:156200;HP:0001852
OMIM:156200;HP:0000664
OMIM:156200;HP:0200055
OMIM:156200;HP:0000280
OMIM:156200;HP:0002200
OMIM:156200;HP:0001252
OMIM:156200;HP:0008897
OMIM:156200;HP:0000006
OMIM:156200;HP:0000369
OMIM:156200;HP:0001156
OMIM:156200;HP:0000574
OMIM:156200;HP:0100716
OMIM:156200;HP:0000272
OMIM:156200;HP:0000687
OMIM:156200;HP:0001270
OMIM:156200;HP:0002360
OMIM:156200;HP:0002591
OMIM:156200;HP:0000565
OMIM:156200;HP:0000736
OMIM:156200;HP:0008872
OMIM:156200;HP:0000252
OMIM:156200;HP:0000448
OMIM:156200;HP:0002167
OMIM:156200;HP:0000194
OMIM:156200;HP:0000545
OMIM:156200;HP:0001773
OMIM:156200;HP:0002311
OMIM:156200;HP:0010804
